gpu_model,gpu_capacity_num,cpu_num,node_name
GPU-series-2,8,192,614
GPU-series-1,1,192,615
GPU-series-1,1,192,616
A100-SXM4-80GB,8,128,617
GPU-series-1,1,192,618
A10,1,128,619
A10,1,128,620
A100-SXM4-80GB,8,128,621
A10,1,128,622
GPU-series-1,1,192,623
A10,1,128,624
A10,1,128,625
A10,1,128,626
A10,1,128,627
A10,1,128,628
A10,1,128,629
GPU-series-1,1,192,630
A10,1,128,631
GPU-series-1,1,192,632
A100-SXM4-80GB,8,128,633
GPU-series-1,1,192,634
A10,1,128,635
GPU-series-1,1,192,636
GPU-series-2,8,192,637
A100-SXM4-80GB,8,128,638
A10,1,128,639
GPU-series-1,8,192,640
A10,1,128,641
A10,1,128,642
A10,1,128,643
A10,1,128,644
A10,1,128,645
A10,1,128,646
A10,1,128,647
GPU-series-1,1,192,648
GPU-series-1,1,192,649
A100-SXM4-80GB,8,128,650
A10,1,128,651
A10,1,128,652
GPU-series-2,8,192,653
A100-SXM4-80GB,8,128,654
A10,1,128,655
H800,8,192,656
GPU-series-2,8,192,657
A10,1,128,658
GPU-series-1,1,192,659
A10,1,128,660
A10,1,128,661
A10,1,128,662
GPU-series-1,1,192,663
H800,8,192,664
A10,1,128,665
A10,1,128,666
GPU-series-1,1,192,667
GPU-series-1,1,192,668
A10,1,128,669
A100-SXM4-80GB,8,128,670
A10,1,128,671
GPU-series-1,1,192,672
A10,1,128,673
H800,8,192,674
A10,1,128,675
A10,1,128,676
GPU-series-1,1,192,677
GPU-series-1,1,192,678
A10,1,128,679
A10,1,128,680
A10,1,128,681
GPU-series-1,1,192,682
A10,1,128,683
A10,1,128,684
A10,1,128,685
A10,1,128,686
A10,1,128,687
A10,1,128,688
A100-SXM4-80GB,8,128,689
A10,1,128,690
A10,1,128,691
A10,1,128,692
A10,1,128,693
GPU-series-1,1,192,694
A10,1,128,695
GPU-series-1,1,192,696
A10,1,128,697
A10,1,128,698
GPU-series-1,1,192,700
A10,1,128,701
A10,1,128,702
A10,1,128,703
A10,1,128,704
A10,1,128,705
GPU-series-1,1,192,706
A10,1,128,707
GPU-series-1,1,192,708
A10,1,128,709
GPU-series-1,1,192,710
H800,8,192,711
A10,1,128,712
A10,1,128,713
A100-SXM4-80GB,8,128,714
A10,1,128,715
H800,8,192,716
A10,1,128,717
A10,1,128,718
H800,8,192,719
GPU-series-1,1,192,720
A10,1,128,721
GPU-series-2,8,192,722
A10,1,128,723
GPU-series-1,1,192,724
GPU-series-1,1,192,725
A10,1,128,726
A10,1,128,727
A10,1,128,728
GPU-series-1,1,192,729
A10,1,128,730
A10,1,128,731
H800,8,192,732
H800,8,192,733
A10,1,128,734
A10,1,128,735
A10,1,128,736
A10,1,128,738
A10,1,128,739
GPU-series-1,1,192,740
A10,1,128,741
A10,1,128,742
A10,1,128,743
GPU-series-1,1,192,744
A10,1,128,745
A10,1,128,746
A10,1,128,747
GPU-series-1,1,192,748
A10,1,128,749
A10,1,128,750
A10,1,128,751
A100-SXM4-80GB,8,128,752
GPU-series-1,1,192,753
A10,1,128,754
A10,1,128,755
GPU-series-1,1,192,756
GPU-series-1,1,192,757
A10,1,128,758
A10,1,128,759
A100-SXM4-80GB,8,128,760
A10,1,128,761
A10,1,128,762
GPU-series-1,8,192,763
A10,1,128,764
A800-SXM4-80GB,8,128,765
A10,1,128,766
A10,1,128,767
A10,1,128,768
A10,1,128,769
A10,1,128,770
A10,1,128,771
A10,1,128,772
GPU-series-1,1,192,773
A10,1,128,774
A10,1,128,775
GPU-series-1,1,192,776
A100-SXM4-80GB,8,128,777
GPU-series-1,8,192,778
A10,1,128,779
A10,1,128,780
A10,1,128,781
GPU-series-1,1,192,782
GPU-series-1,1,192,783
GPU-series-1,1,192,784
A10,1,128,785
A10,1,128,786
A10,1,128,787
A10,1,128,788
H800,8,192,789
A10,1,128,790
A10,1,128,791
A10,1,128,793
A10,1,128,794
A10,1,128,795
A10,1,128,796
A10,1,128,797
A10,1,128,798
A10,1,128,799
A100-SXM4-80GB,8,128,800
A100-SXM4-80GB,8,128,801
A10,1,128,802
A10,1,128,803
A10,1,128,804
GPU-series-2,8,192,805
GPU-series-1,8,192,806
A10,1,128,807
A10,1,128,808
A10,1,128,809
GPU-series-1,1,192,810
A10,1,128,811
A10,1,128,812
GPU-series-1,1,192,813
A10,1,128,814
GPU-series-1,1,192,815
A10,1,128,816
A10,1,128,817
GPU-series-1,1,192,818
A100-SXM4-80GB,8,128,819
A100-SXM4-80GB,8,128,820
GPU-series-1,1,192,821
H800,8,192,822
H800,8,192,823
A100-SXM4-80GB,8,128,824
A10,1,128,825
A10,1,128,826
A10,1,128,827
A10,1,128,828
GPU-series-1,1,192,829
GPU-series-1,1,192,830
GPU-series-1,1,192,831
A10,1,128,832
GPU-series-1,1,192,833
A100-SXM4-80GB,8,128,834
A10,1,128,835
A10,1,128,836
A10,1,128,837
A100-SXM4-80GB,8,128,838
A10,1,128,839
GPU-series-1,1,192,840
GPU-series-1,1,192,841
A10,1,128,842
A100-SXM4-80GB,8,128,843
A10,1,128,844
A10,1,128,845
A800-SXM4-80GB,8,128,846
A10,1,128,847
A10,1,128,848
A100-SXM4-80GB,8,128,849
A10,1,128,850
A10,1,128,851
GPU-series-1,1,192,852
H800,8,192,853
A10,1,128,854
GPU-series-1,1,192,855
A10,1,128,856
A10,1,128,857
GPU-series-1,1,192,858
GPU-series-2,8,192,859
A10,1,128,860
A10,1,128,861
GPU-series-1,1,192,862
GPU-series-1,1,192,863
A10,1,128,864
GPU-series-1,1,192,865
A10,1,128,866
GPU-series-1,1,192,867
GPU-series-1,1,192,868
A10,1,128,869
A10,1,128,870
A10,1,128,871
A10,1,128,872
A100-SXM4-80GB,8,128,873
A10,1,128,874
A100-SXM4-80GB,8,128,875
A10,1,128,876
A10,1,128,877
A10,1,128,878
GPU-series-1,1,192,879
A10,1,128,880
H800,8,192,881
GPU-series-1,1,192,882
A10,1,128,883
GPU-series-1,1,192,884
H800,8,192,885
A10,1,128,886
A10,1,128,887
A10,1,128,888
A10,1,128,889
GPU-series-1,1,192,890
GPU-series-1,1,192,891
A10,1,128,892
GPU-series-1,1,192,893
A10,1,128,894
GPU-series-1,1,192,895
A10,1,128,896
A10,1,128,897
A10,1,128,898
A100-SXM4-80GB,8,128,899
A10,1,128,900
A100-SXM4-80GB,8,128,901
A10,1,128,902
A100-SXM4-80GB,8,128,903
GPU-series-1,1,192,904
GPU-series-1,1,192,905
GPU-series-1,1,192,906
GPU-series-1,8,192,907
GPU-series-1,1,192,908
A10,1,128,909
GPU-series-1,1,192,910
A10,1,128,911
A10,1,128,912
A10,1,128,913
A10,1,128,914
GPU-series-1,8,192,915
A10,1,128,916
GPU-series-1,1,192,917
H800,8,192,918
H800,8,192,919
H800,8,192,920
A10,1,128,921
GPU-series-1,1,192,922
A10,1,128,923
A10,1,128,924
A10,1,128,925
A10,1,128,926
GPU-series-1,1,192,927
A10,1,128,928
A10,1,128,929
A10,1,128,930
A10,1,128,931
A10,1,128,933
A10,1,128,934
A10,1,128,935
A10,1,128,936
A10,1,128,937
A10,1,128,938
A10,1,128,939
A10,1,128,940
A10,1,128,941
A100-SXM4-80GB,8,128,942
A10,1,128,943
A10,1,128,944
A10,1,128,945
A10,1,128,946
GPU-series-1,1,192,947
H800,8,192,948
GPU-series-1,1,192,949
GPU-series-2,8,192,950
A100-SXM4-80GB,8,128,951
A10,1,128,952
A10,1,128,953
A10,1,128,954
GPU-series-1,8,192,955
A10,1,128,956
A10,1,128,957
GPU-series-1,1,192,958
GPU-series-1,1,192,959
GPU-series-1,1,192,960
A10,1,128,961
A10,1,128,962
A10,1,128,963
A10,1,128,964
GPU-series-1,1,192,965
A10,1,128,966
A10,1,128,967
GPU-series-1,1,192,968
H800,8,192,969
H800,8,192,970
GPU-series-1,1,192,971
A100-SXM4-80GB,8,128,972
A10,1,128,973
A100-SXM4-80GB,8,128,974
A10,1,128,975
A100-SXM4-80GB,8,128,976
A10,1,128,977
A10,1,128,978
GPU-series-2,8,192,979
A10,1,128,980
GPU-series-1,1,192,981
GPU-series-1,1,192,982
A10,1,128,983
GPU-series-1,1,192,984
A10,1,128,985
A10,1,128,986
A10,1,128,987
A10,1,128,988
A10,1,128,989
A100-SXM4-80GB,8,128,990
GPU-series-1,1,192,991
A10,1,128,992
A10,1,128,993
GPU-series-1,1,192,994
GPU-series-1,1,192,995
A10,1,128,996
H800,8,192,997
A10,1,128,998
A10,1,128,999
GPU-series-2,8,192,1001
A10,1,128,1002
GPU-series-1,1,192,1003
A10,1,128,1004
GPU-series-1,1,192,1005
A10,1,128,1006
A10,1,128,1007
A100-SXM4-80GB,8,128,1008
A10,1,128,1009
GPU-series-1,1,192,1010
A10,1,128,1011
A10,1,128,1012
A10,1,128,1013
A10,1,128,1014
GPU-series-1,1,192,1015
A10,1,128,1016
A10,1,128,1017
A10,1,128,1018
GPU-series-1,1,192,1019
A10,1,128,1020
A10,1,128,1021
H800,8,192,1022
A100-SXM4-80GB,8,128,1023
GPU-series-1,1,192,1024
A10,1,128,1025
A10,1,128,1026
A10,1,128,1027
H800,8,192,1028
A100-SXM4-80GB,8,128,1029
A10,1,128,1030
A10,1,128,1031
A10,1,128,1032
A10,1,128,1033
A10,1,128,1034
GPU-series-1,1,192,1035
A10,1,128,1036
H800,8,192,1037
GPU-series-1,1,192,1038
GPU-series-1,1,192,1040
A10,1,128,1041
A10,1,128,1042
A10,1,128,1043
A100-SXM4-80GB,8,128,1044
A10,1,128,1045
GPU-series-2,8,192,1046
A10,1,128,1047
GPU-series-1,1,192,1048
A10,1,128,1049
A10,1,128,1050
H800,8,192,1051
A10,1,128,1052
GPU-series-1,1,192,1053
A10,1,128,1054
H800,8,192,1055
A10,1,128,1056
A10,1,128,1057
A10,1,128,1058
GPU-series-1,1,192,1059
GPU-series-1,8,192,1060
A10,1,128,1061
A10,1,128,1062
GPU-series-1,1,192,1063
GPU-series-1,1,192,1064
H800,8,192,1065
A10,1,128,1066
A10,1,128,1067
A10,1,128,1068
GPU-series-1,1,192,1069
A10,1,128,1070
A10,1,128,1071
H800,8,192,1072
A10,1,128,1073
A10,1,128,1074
H800,8,192,1075
A10,1,128,1076
A10,1,128,1077
A10,1,128,1078
GPU-series-1,4,192,1079
A10,1,128,1080
A10,1,128,1081
A10,1,128,1082
A10,1,128,1083
A10,1,128,1084
A10,1,128,1085
A10,1,128,1086
A10,1,128,1087
A10,1,128,1088
H800,8,192,1089
A100-SXM4-80GB,8,128,1090
A10,1,128,1091
A10,1,128,1092
A10,1,128,1093
GPU-series-1,1,192,1094
A10,1,128,1095
A10,1,128,1096
GPU-series-1,1,192,1097
A10,1,128,1098
GPU-series-2,8,192,1099
GPU-series-1,1,192,1100
A10,1,128,1101
A10,1,128,1102
A10,1,128,1103
A10,1,128,1104
GPU-series-1,1,192,1105
H800,8,192,1106
A10,1,128,1107
GPU-series-1,1,192,1108
GPU-series-1,1,192,1109
A100-SXM4-80GB,8,128,1110
GPU-series-1,1,192,1111
A10,1,128,1112
GPU-series-2,8,192,1113
A10,1,128,1114
A100-SXM4-80GB,8,128,1115
A10,1,128,1116
A10,1,128,1117
A10,1,128,1118
A10,1,128,1119
A10,1,128,1120
A10,1,128,1121
A10,1,128,1122
A10,1,128,1123
A10,1,128,1124
GPU-series-1,1,192,1126
A10,1,128,1127
A100-SXM4-80GB,8,128,1128
A10,1,128,1129
A10,1,128,1130
A10,1,128,1131
A10,1,128,1132
A10,1,128,1133
GPU-series-1,1,192,1134
A10,1,128,1135
A10,1,128,1136
A10,1,128,1137
H800,8,192,1138
A10,1,128,1139
A10,1,128,1140
A10,1,128,1141
A10,1,128,1142
A10,1,128,1143
A10,1,128,1144
H800,8,192,1145
GPU-series-1,1,192,1146
A10,1,128,1147
A10,1,128,1148
A10,1,128,1149
A100-SXM4-80GB,8,128,1150
A100-SXM4-80GB,8,128,1151
H800,8,192,1152
A10,1,128,1153
A10,1,128,1154
A10,1,128,1155
A10,1,128,1156
A10,1,128,1157
A10,1,128,1158
A10,1,128,1159
GPU-series-1,1,192,1160
A10,1,128,1161
A10,1,128,1162
A10,1,128,1163
A10,1,128,1164
A10,1,128,1165
GPU-series-1,1,192,1166
A100-SXM4-80GB,8,128,1167
A10,1,128,1168
A10,1,128,1169
A10,1,128,1170
A10,1,128,1171
A10,1,128,1172
A10,1,128,1173
GPU-series-2,8,192,1174
GPU-series-1,1,192,1175
A100-SXM4-80GB,8,128,1176
GPU-series-1,1,192,1177
A10,1,128,1178
A10,1,128,1179
GPU-series-1,1,192,1180
A10,1,128,1181
A10,1,128,1182
GPU-series-1,1,192,1183
A100-SXM4-80GB,8,128,1184
A10,1,128,1185
A10,1,128,1186
GPU-series-1,1,192,1187
A100-SXM4-80GB,8,128,1188
A10,1,128,1189
GPU-series-1,8,192,1190
A10,1,128,1191
A100-SXM4-80GB,8,128,1192
A10,1,128,1193
GPU-series-1,8,192,1194
A10,1,128,1196
A100-SXM4-80GB,8,128,1197
A10,1,128,1198
A10,1,128,1199
GPU-series-1,1,192,1200
A10,1,128,1201
A10,1,128,1202
A10,1,128,1203
A10,1,128,1204
A10,1,128,1205
GPU-series-2,8,192,1206
A10,1,128,1207
GPU-series-1,1,192,1208
A10,1,128,1209
A10,1,128,1210
A10,1,128,1211
A10,1,128,1212
A10,1,128,1213
A100-SXM4-80GB,8,128,1214
GPU-series-1,1,192,1215
A10,1,128,1216
H800,8,192,1217
A10,1,128,1218
A100-SXM4-80GB,8,128,1219
A10,1,128,1220
GPU-series-1,1,192,1221
A10,1,128,1222
A100-SXM4-80GB,8,128,1223
A10,1,128,1224
A10,1,128,1225
A10,1,128,1226
A10,1,128,1227
A10,1,128,1228
A10,1,128,1229
A10,1,128,1230
A10,1,128,1231
A10,1,128,1232
A100-SXM4-80GB,8,128,1233
A10,1,128,1234
A100-SXM4-80GB,8,128,1235
A10,1,128,1236
A10,1,128,1237
GPU-series-1,1,192,1238
A10,1,128,1239
GPU-series-1,1,192,1240
GPU-series-1,1,192,1241
A10,1,128,1242
A10,1,128,1243
A10,1,128,1244
