sn,cpu_milli,memory_mib,gpu,model
openb-node-0222,32000,262144,0,
openb-node-0223,32000,262144,0,
openb-node-0224,32000,262144,0,
openb-node-0225,32000,262144,0,
openb-node-0226,32000,262144,0,
openb-node-0227,32000,262144,0,
openb-node-0228,128000,786432,8,G3
openb-node-0229,96000,786432,8,V100M32
openb-node-0230,96000,786432,8,V100M32
openb-node-0231,104000,524288,0,
openb-node-0232,64000,131072,0,
openb-node-0233,32000,131072,4,V100M16
openb-node-0234,96000,393216,8,G2
openb-node-0235,96000,393216,8,G2
openb-node-0236,96000,393216,8,G2
openb-node-0237,96000,393216,8,G2
openb-node-0238,96000,393216,8,G2
openb-node-0239,96000,393216,8,G2
openb-node-0240,96000,393216,8,G2
openb-node-0241,96000,393216,8,G2
openb-node-0242,96000,393216,8,G2
openb-node-0243,96000,393216,4,T4
openb-node-0244,104000,524288,2,T4
openb-node-0245,128000,786432,8,G3
openb-node-0246,96000,393216,8,G2
openb-node-0247,96000,393216,8,G2
openb-node-0248,96000,393216,8,G2
openb-node-0249,96000,393216,8,G2
openb-node-0250,96000,393216,8,G2
openb-node-0251,104000,524288,2,T4
openb-node-0252,96000,393216,8,G2
openb-node-0253,96000,393216,8,G2
openb-node-0254,96000,393216,8,G2
openb-node-0255,96000,393216,8,G2
openb-node-0256,96000,393216,8,G2
openb-node-0257,128000,786432,8,G3
openb-node-0258,128000,786432,8,G3
openb-node-0259,16000,122880,2,P100
openb-node-0260,96000,393216,8,G2
openb-node-0261,96000,393216,8,G2
openb-node-0262,96000,393216,8,G2
openb-node-0263,96000,393216,8,G2
openb-node-0264,96000,393216,8,G2
openb-node-0265,96000,393216,4,T4
openb-node-0266,96000,393216,8,G2
openb-node-0267,96000,393216,8,G2
openb-node-0268,96000,393216,8,G2
openb-node-0269,96000,393216,8,G2
openb-node-0270,16000,122880,2,P100
openb-node-0271,96000,393216,8,G2
openb-node-0272,96000,393216,8,G2
openb-node-0273,96000,786432,8,V100M32
openb-node-0274,96000,393216,8,G2
openb-node-0275,104000,524288,2,T4
openb-node-0276,104000,524288,2,T4
openb-node-0277,104000,524288,2,T4
openb-node-0278,104000,524288,2,T4
openb-node-0279,32000,131072,4,V100M16
openb-node-0280,16000,122880,2,P100
openb-node-0281,16000,122880,2,P100
openb-node-0282,32000,131072,0,
openb-node-0283,96000,393216,8,G2
openb-node-0284,96000,393216,8,G2
openb-node-0285,96000,393216,8,G2
openb-node-0286,96000,393216,8,G2
openb-node-0287,96000,393216,4,T4
openb-node-0288,96000,393216,4,T4
openb-node-0289,96000,393216,8,G2
openb-node-0290,96000,393216,8,G2
openb-node-0291,96000,393216,8,G2
openb-node-0292,16000,122880,2,P100
openb-node-0293,16000,122880,2,P100
openb-node-0294,16000,122880,2,P100
openb-node-0295,96000,393216,8,G2
openb-node-0296,104000,786432,0,
openb-node-0297,96000,393216,8,G2
openb-node-0298,96000,393216,8,G2
openb-node-0299,96000,393216,8,G2
openb-node-0300,16000,122880,2,P100
openb-node-0301,96000,393216,8,G2
openb-node-0302,96000,393216,8,G2
openb-node-0303,96000,393216,8,G2
openb-node-0304,96000,393216,8,G2
openb-node-0305,96000,393216,8,G2
openb-node-0306,96000,393216,4,T4
openb-node-0307,32000,131072,4,V100M16
openb-node-0308,32000,131072,4,V100M16
openb-node-0309,32000,131072,4,V100M16
openb-node-0310,96000,393216,8,G2
openb-node-0311,96000,393216,8,G2
openb-node-0312,96000,393216,8,G2
openb-node-0313,96000,393216,4,T4
openb-node-0314,96000,393216,8,G2
openb-node-0315,96000,393216,8,G2
openb-node-0316,96000,393216,8,G2
openb-node-0317,104000,524288,0,
openb-node-0318,96000,393216,8,G2
openb-node-0319,96000,393216,8,G2
openb-node-0320,96000,393216,8,G2
openb-node-0321,96000,393216,8,G2
openb-node-0322,96000,393216,8,G2
openb-node-0323,96000,393216,8,G2
openb-node-0324,32000,131072,0,
openb-node-0325,104000,524288,2,T4
openb-node-0326,96000,393216,8,G2
openb-node-0327,96000,393216,8,G2
openb-node-0328,96000,393216,8,G2
openb-node-0329,96000,393216,8,G2
openb-node-0330,16000,122880,2,P100
openb-node-0331,16000,122880,2,P100
openb-node-0332,96000,393216,8,G2
openb-node-0333,104000,524288,2,T4
openb-node-0334,104000,524288,2,T4
openb-node-0335,104000,524288,2,T4
openb-node-0336,104000,524288,2,T4
openb-node-0337,104000,524288,2,T4
openb-node-0338,104000,524288,2,T4
openb-node-0339,96000,524288,0,
openb-node-0340,104000,524288,2,T4
openb-node-0341,104000,524288,2,T4
openb-node-0342,104000,524288,2,T4
openb-node-0343,104000,524288,2,T4
openb-node-0344,104000,524288,2,T4
openb-node-0345,104000,524288,2,T4
openb-node-0346,104000,524288,2,T4
openb-node-0347,104000,524288,2,T4
openb-node-0348,104000,524288,2,T4
openb-node-0349,104000,524288,2,T4
openb-node-0350,104000,524288,2,T4
openb-node-0351,96000,393216,8,G2
openb-node-0352,104000,524288,2,T4
openb-node-0353,96000,393216,8,G2
openb-node-0354,96000,393216,8,G2
openb-node-0355,96000,393216,8,G2
openb-node-0356,8000,32768,1,V100M16
openb-node-0357,16000,122880,2,P100
openb-node-0358,16000,122880,2,P100
openb-node-0359,16000,122880,2,P100
openb-node-0360,104000,524288,2,T4
openb-node-0361,96000,393216,8,G2
openb-node-0362,96000,393216,8,G2
openb-node-0363,96000,393216,8,G2
openb-node-0364,96000,393216,8,G2
openb-node-0365,96000,393216,8,G2
openb-node-0366,96000,393216,8,G2
openb-node-0367,96000,393216,8,G2
openb-node-0368,8000,32768,1,V100M16
openb-node-0369,96000,393216,8,G2
openb-node-0370,96000,393216,8,G2
openb-node-0371,96000,393216,8,G2
openb-node-0372,96000,393216,8,G2
openb-node-0373,96000,393216,8,G2
openb-node-0374,16000,122880,2,P100
openb-node-0375,16000,122880,2,P100
openb-node-0376,16000,122880,2,P100
openb-node-0377,104000,524288,0,
openb-node-0378,104000,524288,2,T4
openb-node-0379,32000,131072,0,
openb-node-0380,32000,131072,0,
openb-node-0381,104000,524288,2,T4
openb-node-0382,96000,786432,8,V100M32
openb-node-0383,128000,786432,8,G3
openb-node-0384,128000,786432,8,G3
openb-node-0385,128000,786432,8,G3
openb-node-0386,128000,786432,8,G3
openb-node-0387,64000,262144,0,
openb-node-0388,96000,393216,8,G2
openb-node-0389,96000,393216,8,G2
openb-node-0390,96000,393216,8,G2
openb-node-0391,96000,393216,8,G2
openb-node-0392,32000,131072,0,
openb-node-0393,96000,393216,8,G2
openb-node-0394,96000,393216,8,G2
openb-node-0395,96000,393216,8,G2
openb-node-0396,96000,393216,8,G2
openb-node-0397,96000,393216,8,G2
openb-node-0398,128000,786432,8,G3
openb-node-0399,128000,786432,8,G3
openb-node-0400,32000,131072,4,V100M16
openb-node-0401,104000,524288,2,T4
openb-node-0402,104000,524288,2,T4
openb-node-0403,96000,393216,8,G2
openb-node-0404,96000,393216,8,G2
openb-node-0405,96000,524288,0,
openb-node-0406,96000,524288,0,
openb-node-0407,104000,524288,2,T4
openb-node-0408,96000,393216,8,G2
openb-node-0409,96000,393216,8,G2
openb-node-0410,96000,393216,8,G2
openb-node-0411,96000,393216,8,G2
openb-node-0412,16000,122880,2,P100
openb-node-0413,16000,122880,2,P100
openb-node-0414,8000,32768,1,V100M16
openb-node-0415,96000,393216,8,G2
openb-node-0416,96000,393216,8,G2
openb-node-0417,96000,393216,8,G2
openb-node-0418,96000,393216,8,G2
openb-node-0419,104000,524288,2,T4
openb-node-0420,104000,524288,2,T4
openb-node-0421,104000,524288,2,T4
openb-node-0422,104000,524288,2,T4
openb-node-0423,104000,524288,2,T4
openb-node-0424,104000,524288,2,T4
openb-node-0425,104000,524288,2,T4
openb-node-0426,104000,524288,2,T4
openb-node-0427,104000,524288,2,T4
openb-node-0428,104000,524288,2,T4
openb-node-0429,104000,524288,0,
openb-node-0430,104000,524288,0,
openb-node-0431,104000,524288,2,T4
openb-node-0432,104000,524288,2,T4
openb-node-0433,104000,524288,2,T4
openb-node-0434,104000,524288,2,T4
openb-node-0435,104000,524288,2,T4
openb-node-0436,96000,786432,8,V100M32
openb-node-0437,96000,393216,8,G2
openb-node-0438,96000,393216,8,G2
openb-node-0439,96000,393216,8,G2
openb-node-0440,16000,122880,2,P100
openb-node-0441,16000,122880,2,P100
openb-node-0442,96000,393216,8,G2
openb-node-0443,96000,393216,8,G2
openb-node-0444,96000,393216,8,G2
openb-node-0445,96000,393216,8,G2
openb-node-0446,32000,131072,4,V100M16
openb-node-0447,96000,393216,8,G2
openb-node-0448,32000,131072,4,V100M16
openb-node-0449,96000,393216,8,G2
openb-node-0450,96000,393216,8,G2
openb-node-0451,104000,524288,2,T4
openb-node-0452,32000,131072,4,V100M16
openb-node-0453,32000,65536,0,
openb-node-0454,32000,65536,0,
openb-node-0455,32000,65536,0,
openb-node-0456,64000,262144,8,V100M16
openb-node-0457,96000,393216,8,G2
openb-node-0458,104000,524288,2,T4
openb-node-0459,104000,524288,2,T4
openb-node-0460,104000,524288,2,T4
openb-node-0461,104000,524288,2,T4
openb-node-0462,104000,524288,2,T4
openb-node-0463,104000,524288,2,T4
openb-node-0464,104000,524288,2,T4
openb-node-0465,104000,524288,2,T4
openb-node-0466,104000,524288,2,T4
openb-node-0467,96000,393216,8,G2
openb-node-0468,96000,393216,8,G2
openb-node-0469,96000,393216,8,G2
openb-node-0470,96000,393216,8,G2
openb-node-0471,96000,393216,8,G2
openb-node-0472,48000,376832,4,V100M32
openb-node-0473,64000,262144,8,V100M16
openb-node-0474,96000,393216,8,G2
openb-node-0475,96000,393216,8,G2
openb-node-0476,104000,524288,2,T4
openb-node-0477,104000,524288,2,T4
openb-node-0478,104000,524288,2,T4
openb-node-0479,104000,524288,2,T4
openb-node-0480,104000,524288,2,T4
openb-node-0481,96000,786432,8,V100M32
openb-node-0482,96000,393216,8,G2
openb-node-0483,32000,131072,4,V100M16
openb-node-0484,96000,393216,8,G2
openb-node-0485,96000,393216,8,G2
openb-node-0486,96000,393216,8,G2
openb-node-0487,96000,393216,8,G2
openb-node-0488,16000,122880,2,P100
openb-node-0489,64000,262144,8,V100M16
openb-node-0490,104000,786432,0,
openb-node-0491,16000,122880,2,P100
openb-node-0492,96000,393216,8,G2
openb-node-0493,96000,393216,8,G2
openb-node-0494,96000,393216,8,G2
openb-node-0495,96000,393216,8,G2
openb-node-0496,16000,122880,2,P100
openb-node-0497,8000,32768,1,V100M16
openb-node-0498,96000,393216,8,G2
openb-node-0499,96000,393216,8,G2
openb-node-0500,96000,393216,8,G2
openb-node-0501,96000,393216,8,G2
openb-node-0502,32000,131072,0,
openb-node-0503,96000,393216,8,G2
openb-node-0504,96000,393216,8,G2
openb-node-0505,96000,393216,8,G2
openb-node-0506,96000,393216,8,G2
openb-node-0507,96000,393216,8,G2
openb-node-0508,16000,122880,2,P100
openb-node-0509,96000,393216,8,G2
openb-node-0510,16000,122880,2,P100
openb-node-0511,16000,122880,2,P100
openb-node-0512,96000,393216,8,G2
openb-node-0513,96000,393216,8,G2
openb-node-0514,96000,393216,8,G2
openb-node-0515,64000,262144,8,V100M16
openb-node-0516,16000,122880,2,P100
openb-node-0517,96000,393216,8,G2
openb-node-0518,96000,393216,8,G2
openb-node-0519,8000,61440,1,P100
openb-node-0520,96000,393216,8,G2
openb-node-0521,128000,786432,8,G3
openb-node-0522,104000,524288,2,T4
openb-node-0523,104000,524288,2,T4
openb-node-0524,104000,524288,2,T4
openb-node-0525,104000,524288,2,T4
openb-node-0526,104000,524288,2,T4
openb-node-0527,104000,524288,2,T4
openb-node-0528,96000,393216,8,G2
openb-node-0529,104000,524288,2,T4
openb-node-0530,96000,393216,8,G2
openb-node-0531,96000,393216,8,G2
openb-node-0532,128000,786432,8,G3
openb-node-0533,128000,786432,8,G3
openb-node-0534,128000,786432,8,G3
openb-node-0535,104000,524288,2,T4
openb-node-0536,104000,524288,0,
openb-node-0537,128000,786432,8,G3
openb-node-0538,96000,393216,8,G2
openb-node-0539,96000,393216,8,G2
openb-node-0540,96000,524288,0,
openb-node-0541,96000,524288,0,
openb-node-0542,32000,131072,4,V100M16
openb-node-0543,128000,786432,8,G3
openb-node-0544,104000,524288,2,T4
openb-node-0545,104000,524288,2,T4
openb-node-0546,104000,524288,2,T4
openb-node-0547,104000,524288,2,T4
openb-node-0548,96000,393216,8,G2
openb-node-0549,104000,524288,2,T4
openb-node-0550,128000,786432,8,G3
openb-node-0551,96000,393216,8,G2
openb-node-0552,96000,393216,8,G2
openb-node-0553,96000,393216,8,G2
openb-node-0554,96000,393216,8,G2
openb-node-0555,96000,393216,8,G2
openb-node-0556,96000,393216,8,G2
openb-node-0557,96000,393216,8,G2
openb-node-0558,96000,393216,8,G2
openb-node-0559,96000,393216,8,G2
openb-node-0560,96000,393216,8,G2
openb-node-0561,96000,393216,8,G2
openb-node-0562,128000,786432,8,G3
openb-node-0563,128000,786432,8,G3
openb-node-0564,104000,524288,2,T4
openb-node-0565,8000,61440,1,P100
openb-node-0566,128000,786432,8,G3
openb-node-0567,96000,393216,8,G2
openb-node-0568,96000,393216,8,G2
openb-node-0569,96000,786432,8,V100M32
openb-node-0570,96000,393216,8,G2
openb-node-0571,96000,393216,8,G2
openb-node-0572,48000,376832,4,V100M32
openb-node-0573,96000,393216,8,G2
openb-node-0574,96000,393216,8,G2
openb-node-0575,96000,393216,8,G2
openb-node-0576,96000,393216,8,G2
openb-node-0577,96000,524288,0,
openb-node-0578,96000,524288,0,
openb-node-0579,96000,786432,8,V100M32
openb-node-0580,104000,524288,2,T4
openb-node-0581,96000,524288,0,
openb-node-0582,96000,393216,8,G2
openb-node-0583,16000,122880,2,P100
openb-node-0584,96000,393216,8,G2
openb-node-0585,64000,131072,0,
openb-node-0586,96000,393216,8,G2
openb-node-0587,96000,393216,8,G2
openb-node-0588,96000,393216,8,G2
openb-node-0589,96000,393216,8,G2
openb-node-0590,96000,393216,8,G2
openb-node-0591,16000,122880,2,P100
openb-node-0592,96000,393216,8,G2
openb-node-0593,96000,393216,8,G2
openb-node-0594,96000,393216,8,G2
openb-node-0595,96000,393216,8,G2
openb-node-0596,96000,524288,0,
openb-node-0597,48000,376832,4,V100M32
openb-node-0598,96000,393216,8,G2
openb-node-0599,96000,393216,8,G2
openb-node-0600,96000,393216,8,G2
openb-node-0601,96000,393216,8,G2
openb-node-0602,96000,393216,8,G2
openb-node-0603,96000,393216,8,G2
openb-node-0604,16000,122880,2,P100
openb-node-0605,128000,786432,8,G3
openb-node-0606,16000,122880,2,P100
openb-node-0607,96000,393216,8,G2
openb-node-0608,96000,393216,8,G2
openb-node-0609,104000,524288,2,T4
openb-node-0610,104000,524288,2,T4
openb-node-0611,104000,524288,2,T4
openb-node-0612,104000,524288,2,T4
openb-node-0613,104000,524288,2,T4
openb-node-0614,16000,122880,2,P100
openb-node-0615,16000,122880,2,P100
openb-node-0616,16000,122880,2,P100
openb-node-0617,96000,393216,8,G2
openb-node-0618,96000,393216,8,G2
openb-node-0619,96000,393216,8,G2
openb-node-0620,96000,524288,0,
openb-node-0621,96000,393216,8,G2
openb-node-0622,96000,393216,8,G2
openb-node-0623,104000,524288,2,T4
openb-node-0624,104000,524288,2,T4
openb-node-0625,104000,524288,2,T4
openb-node-0626,104000,524288,2,T4
openb-node-0627,104000,524288,2,T4
openb-node-0628,104000,524288,2,T4
openb-node-0629,104000,524288,2,T4
openb-node-0630,104000,524288,2,T4
openb-node-0631,104000,524288,2,T4
openb-node-0632,104000,524288,2,T4
openb-node-0633,96000,393216,8,G2
openb-node-0634,96000,393216,8,G2
openb-node-0635,96000,393216,8,G2
openb-node-0636,96000,393216,8,G2
openb-node-0637,96000,393216,8,G2
openb-node-0638,96000,393216,8,G2
openb-node-0639,104000,524288,2,T4
openb-node-0640,104000,524288,2,T4
openb-node-0641,96000,393216,8,G2
openb-node-0642,96000,393216,8,G2
openb-node-0643,96000,393216,8,G2
openb-node-0644,104000,786432,0,
openb-node-0645,16000,122880,2,P100
openb-node-0646,16000,122880,2,P100
openb-node-0647,16000,122880,2,P100
openb-node-0648,32000,131072,0,
openb-node-0649,104000,524288,2,T4
openb-node-0650,104000,524288,2,T4
openb-node-0651,104000,524288,2,T4
openb-node-0652,104000,524288,2,T4
openb-node-0653,104000,524288,2,T4
openb-node-0654,104000,524288,2,T4
openb-node-0655,104000,524288,2,T4
openb-node-0656,104000,524288,2,T4
openb-node-0657,104000,524288,2,T4
openb-node-0658,104000,524288,2,T4
openb-node-0659,104000,524288,2,T4
openb-node-0660,104000,524288,2,T4
openb-node-0661,104000,524288,2,T4
openb-node-0662,96000,393216,8,G2
openb-node-0663,96000,786432,8,V100M32
openb-node-0664,96000,393216,8,G2
openb-node-0665,96000,393216,8,G2
openb-node-0666,32000,131072,0,
openb-node-0667,32000,131072,0,
openb-node-0668,96000,393216,8,G2
openb-node-0669,96000,393216,8,G2
openb-node-0670,16000,122880,2,P100
openb-node-0671,16000,122880,2,P100
openb-node-0672,96000,393216,8,G2
openb-node-0673,96000,393216,8,G2
openb-node-0674,96000,393216,8,G2
openb-node-0675,104000,524288,2,T4
openb-node-0676,16000,122880,2,P100
openb-node-0677,96000,393216,8,G2
openb-node-0678,32000,131072,0,
openb-node-0679,32000,131072,0,
openb-node-0680,96000,393216,8,G2
openb-node-0681,16000,122880,2,P100
openb-node-0682,32000,131072,4,V100M16
openb-node-0683,32000,131072,4,V100M16
openb-node-0684,96000,393216,4,T4
openb-node-0685,96000,393216,8,G2
openb-node-0686,96000,786432,8,V100M32
openb-node-0687,96000,393216,8,G2
openb-node-0688,96000,393216,8,G2
openb-node-0689,96000,393216,8,G2
openb-node-0690,96000,393216,8,G2
openb-node-0691,104000,524288,2,T4
openb-node-0692,104000,524288,2,T4
openb-node-0693,104000,524288,2,T4
openb-node-0694,104000,524288,2,T4
openb-node-0695,104000,524288,2,T4
openb-node-0696,104000,524288,2,T4
openb-node-0697,104000,524288,2,T4
openb-node-0698,104000,524288,2,T4
openb-node-0699,104000,524288,2,T4
openb-node-0700,104000,524288,2,T4
openb-node-0701,104000,524288,0,
openb-node-0702,96000,393216,8,G2
openb-node-0703,96000,393216,8,G2
openb-node-0704,96000,393216,8,G2
openb-node-0705,96000,393216,8,G2
openb-node-0706,96000,393216,8,G2
openb-node-0707,96000,393216,8,G2
openb-node-0708,96000,393216,8,G2
openb-node-0709,96000,393216,8,G2
openb-node-0710,96000,393216,8,G2
openb-node-0711,96000,393216,8,G2
openb-node-0712,96000,393216,8,G2
openb-node-0713,96000,393216,8,G2
openb-node-0714,96000,393216,8,G2
openb-node-0715,96000,393216,8,G2
openb-node-0716,96000,393216,8,G2
openb-node-0717,96000,393216,8,G2
openb-node-0718,8000,32768,1,V100M16
openb-node-0719,64000,262144,0,
openb-node-0720,64000,262144,0,
openb-node-0721,96000,393216,8,G2
openb-node-0722,96000,393216,8,G2
openb-node-0723,16000,122880,2,P100
openb-node-0724,8000,61440,1,P100
openb-node-0725,104000,524288,2,T4
openb-node-0726,104000,524288,2,T4
openb-node-0727,104000,524288,2,T4
openb-node-0728,96000,393216,8,G2
openb-node-0729,96000,393216,8,G2
openb-node-0730,96000,393216,8,G2
openb-node-0731,64000,262144,0,
openb-node-0732,104000,524288,2,T4
openb-node-0733,104000,524288,2,T4
openb-node-0734,104000,524288,2,T4
openb-node-0735,104000,524288,2,T4
openb-node-0736,16000,122880,2,P100
openb-node-0737,16000,122880,2,P100
openb-node-0738,32000,131072,0,
openb-node-0739,8000,32768,1,V100M16
openb-node-0740,96000,393216,8,G2
openb-node-0741,96000,393216,8,G2
openb-node-0742,128000,786432,8,G3
openb-node-0743,96000,393216,8,G2
openb-node-0744,96000,393216,8,G2
openb-node-0745,96000,393216,8,G2
openb-node-0746,96000,393216,8,G2
openb-node-0747,96000,393216,8,G2
openb-node-0748,96000,393216,8,G2
openb-node-0749,96000,393216,8,G2
openb-node-0750,16000,122880,2,P100
openb-node-0751,32000,65536,0,
openb-node-0752,32000,131072,4,V100M16
openb-node-0753,96000,393216,8,G2
openb-node-0754,96000,393216,8,G2
openb-node-0755,96000,393216,8,G2
