sn,cpu_milli,memory_mib,gpu,model
openb-node-0138,96000,393216,8,G2
openb-node-0139,104000,524288,2,T4
openb-node-0140,96000,393216,8,G2
openb-node-0141,96000,393216,8,G2
openb-node-0142,96000,393216,8,G2
openb-node-0143,8000,32768,1,V100M16
openb-node-0144,16000,122880,2,P100
openb-node-0145,16000,122880,2,P100
openb-node-0146,16000,122880,2,P100
openb-node-0147,104000,524288,2,T4
openb-node-0148,96000,393216,8,G2
openb-node-0149,96000,393216,8,G2
openb-node-0150,96000,393216,8,G2
openb-node-0151,96000,393216,8,G2
openb-node-0152,96000,393216,8,G2
openb-node-0153,96000,393216,8,G2
openb-node-0154,96000,393216,8,G2
openb-node-0155,8000,32768,1,V100M16
openb-node-0156,96000,393216,8,G2
openb-node-0157,96000,393216,8,G2
openb-node-0158,96000,393216,8,G2
openb-node-0159,96000,393216,8,G2
openb-node-0160,96000,393216,8,G2
openb-node-0161,16000,122880,2,P100
openb-node-0162,16000,122880,2,P100
openb-node-0163,16000,122880,2,P100
openb-node-0164,104000,524288,2,T4
openb-node-0165,104000,524288,2,T4
openb-node-0166,96000,786432,8,V100M32
openb-node-0167,128000,786432,8,G3
openb-node-0168,128000,786432,8,G3
openb-node-0169,128000,786432,8,G3
openb-node-0170,128000,786432,8,G3
openb-node-0171,96000,393216,8,G2
openb-node-0172,96000,393216,8,G2
openb-node-0173,96000,393216,8,G2
openb-node-0174,96000,393216,8,G2
openb-node-0175,96000,393216,8,G2
openb-node-0176,96000,393216,8,G2
openb-node-0177,96000,393216,8,G2
openb-node-0178,96000,393216,8,G2
openb-node-0179,96000,393216,8,G2
openb-node-0180,128000,786432,8,G3
openb-node-0181,128000,786432,8,G3
openb-node-0182,32000,131072,4,V100M16
openb-node-0183,104000,524288,2,T4
openb-node-0184,104000,524288,2,T4
openb-node-0185,96000,393216,8,G2
openb-node-0186,96000,393216,8,G2
openb-node-0187,104000,524288,2,T4
openb-node-0188,96000,393216,8,G2
openb-node-0189,96000,393216,8,G2
openb-node-0190,96000,393216,8,G2
openb-node-0191,96000,393216,8,G2
openb-node-0192,16000,122880,2,P100
openb-node-0193,16000,122880,2,P100
openb-node-0194,8000,32768,1,V100M16
openb-node-0195,96000,393216,8,G2
openb-node-0196,96000,393216,8,G2
openb-node-0197,96000,393216,8,G2
openb-node-0198,96000,393216,8,G2
openb-node-0199,104000,524288,2,T4
openb-node-0200,104000,524288,2,T4
openb-node-0201,104000,524288,2,T4
openb-node-0202,104000,524288,2,T4
openb-node-0203,104000,524288,2,T4
openb-node-0204,104000,524288,2,T4
openb-node-0205,104000,524288,2,T4
openb-node-0206,104000,524288,2,T4
openb-node-0207,104000,524288,2,T4
openb-node-0208,104000,524288,2,T4
openb-node-0209,104000,524288,2,T4
openb-node-0210,104000,524288,2,T4
openb-node-0211,104000,524288,2,T4
openb-node-0212,104000,524288,2,T4
openb-node-0213,104000,524288,2,T4
openb-node-0214,96000,786432,8,V100M32
openb-node-0215,96000,393216,8,G2
openb-node-0216,96000,393216,8,G2
openb-node-0217,96000,393216,8,G2
openb-node-0218,16000,122880,2,P100
openb-node-0219,16000,122880,2,P100
openb-node-0220,96000,393216,8,G2
openb-node-0221,96000,393216,8,G2
openb-node-0222,96000,393216,8,G2
openb-node-0223,96000,393216,8,G2
openb-node-0224,32000,131072,4,V100M16
openb-node-0225,96000,393216,8,G2
openb-node-0226,32000,131072,4,V100M16
openb-node-0227,96000,393216,8,G2
openb-node-0228,96000,393216,8,G2
openb-node-0229,104000,524288,2,T4
openb-node-0230,32000,131072,4,V100M16
openb-node-0231,64000,262144,8,V100M16
openb-node-0232,96000,393216,8,G2
openb-node-0233,104000,524288,2,T4
openb-node-0234,104000,524288,2,T4
openb-node-0235,104000,524288,2,T4
openb-node-0236,104000,524288,2,T4
openb-node-0237,104000,524288,2,T4
openb-node-0238,104000,524288,2,T4
openb-node-0239,104000,524288,2,T4
openb-node-0240,104000,524288,2,T4
openb-node-0241,104000,524288,2,T4
openb-node-0242,96000,393216,8,G2
openb-node-0243,96000,393216,8,G2
openb-node-0244,96000,393216,8,G2
openb-node-0245,96000,393216,8,G2
openb-node-0246,96000,393216,8,G2
openb-node-0247,48000,376832,4,V100M32
openb-node-0248,64000,262144,8,V100M16
openb-node-0249,96000,393216,8,G2
openb-node-0250,96000,393216,8,G2
openb-node-0251,104000,524288,2,T4
openb-node-0252,104000,524288,2,T4
openb-node-0253,104000,524288,2,T4
openb-node-0254,104000,524288,2,T4
openb-node-0255,104000,524288,2,T4
openb-node-0256,96000,786432,8,V100M32
openb-node-0257,96000,393216,8,G2
openb-node-0258,32000,131072,4,V100M16
openb-node-0259,96000,393216,8,G2
openb-node-0260,96000,393216,8,G2
openb-node-0261,96000,393216,8,G2
openb-node-0262,96000,393216,8,G2
openb-node-0263,16000,122880,2,P100
openb-node-0264,64000,262144,8,V100M16
openb-node-0265,16000,122880,2,P100
openb-node-0266,96000,393216,8,G2
openb-node-0267,96000,393216,8,G2
openb-node-0268,96000,393216,8,G2
openb-node-0269,96000,393216,8,G2
openb-node-0270,16000,122880,2,P100
openb-node-0271,8000,32768,1,V100M16
openb-node-0272,96000,393216,8,G2
openb-node-0273,96000,393216,8,G2
openb-node-0274,96000,393216,8,G2
openb-node-0275,96000,393216,8,G2
openb-node-0276,96000,393216,8,G2
openb-node-0277,96000,393216,8,G2
openb-node-0278,96000,393216,8,G2
openb-node-0279,96000,393216,8,G2
openb-node-0280,96000,393216,8,G2
openb-node-0281,16000,122880,2,P100
openb-node-0282,96000,393216,8,G2
openb-node-0283,16000,122880,2,P100
openb-node-0284,16000,122880,2,P100
openb-node-0285,96000,393216,8,G2
openb-node-0286,96000,393216,8,G2
openb-node-0287,96000,393216,8,G2
openb-node-0288,64000,262144,8,V100M16
openb-node-0289,16000,122880,2,P100
openb-node-0290,96000,393216,8,G2
openb-node-0291,96000,393216,8,G2
openb-node-0292,8000,61440,1,P100
openb-node-0293,96000,393216,8,G2
openb-node-0294,128000,786432,8,G3
openb-node-0295,104000,524288,2,T4
openb-node-0296,104000,524288,2,T4
openb-node-0297,104000,524288,2,T4
openb-node-0298,104000,524288,2,T4
openb-node-0299,104000,524288,2,T4
openb-node-0300,104000,524288,2,T4
openb-node-0301,96000,393216,8,G2
openb-node-0302,104000,524288,2,T4
openb-node-0303,96000,393216,8,G2
openb-node-0304,96000,393216,8,G2
openb-node-0305,128000,786432,8,G3
openb-node-0306,128000,786432,8,G3
openb-node-0307,128000,786432,8,G3
openb-node-0308,104000,524288,2,T4
openb-node-0309,128000,786432,8,G3
openb-node-0310,96000,393216,8,G2
openb-node-0311,96000,393216,8,G2
openb-node-0312,32000,131072,4,V100M16
openb-node-0313,128000,786432,8,G3
openb-node-0314,104000,524288,2,T4
openb-node-0315,104000,524288,2,T4
openb-node-0316,104000,524288,2,T4
openb-node-0317,104000,524288,2,T4
openb-node-0318,96000,393216,8,G2
openb-node-0319,104000,524288,2,T4
openb-node-0320,128000,786432,8,G3
openb-node-0321,96000,393216,8,G2
openb-node-0322,96000,393216,8,G2
openb-node-0323,96000,393216,8,G2
openb-node-0324,96000,393216,8,G2
openb-node-0325,96000,393216,8,G2
openb-node-0326,96000,393216,8,G2
openb-node-0327,96000,393216,8,G2
openb-node-0328,96000,393216,8,G2
openb-node-0329,96000,393216,8,G2
openb-node-0330,96000,393216,8,G2
openb-node-0331,96000,393216,8,G2
openb-node-0332,128000,786432,8,G3
openb-node-0333,128000,786432,8,G3
openb-node-0334,104000,524288,2,T4
openb-node-0335,8000,61440,1,P100
openb-node-0336,128000,786432,8,G3
openb-node-0337,96000,393216,8,G2
openb-node-0338,96000,393216,8,G2
openb-node-0339,96000,786432,8,V100M32
openb-node-0340,96000,393216,8,G2
openb-node-0341,96000,393216,8,G2
openb-node-0342,48000,376832,4,V100M32
openb-node-0343,96000,393216,8,G2
openb-node-0344,96000,393216,8,G2
openb-node-0345,96000,393216,8,G2
openb-node-0346,96000,393216,8,G2
openb-node-0347,96000,786432,8,V100M32
openb-node-0348,104000,524288,2,T4
openb-node-0349,96000,393216,8,G2
openb-node-0350,16000,122880,2,P100
openb-node-0351,96000,393216,8,G2
openb-node-0352,96000,393216,8,G2
openb-node-0353,96000,393216,8,G2
openb-node-0354,96000,393216,8,G2
openb-node-0355,96000,393216,8,G2
openb-node-0356,96000,393216,8,G2
openb-node-0357,16000,122880,2,P100
openb-node-0358,96000,393216,8,G2
openb-node-0359,96000,393216,8,G2
openb-node-0360,96000,393216,8,G2
openb-node-0361,96000,393216,8,G2
openb-node-0362,48000,376832,4,V100M32
openb-node-0363,96000,393216,8,G2
openb-node-0364,96000,393216,8,G2
openb-node-0365,96000,393216,8,G2
openb-node-0366,96000,393216,8,G2
openb-node-0367,96000,393216,8,G2
openb-node-0368,96000,393216,8,G2
openb-node-0369,16000,122880,2,P100
openb-node-0370,128000,786432,8,G3
openb-node-0371,16000,122880,2,P100
openb-node-0372,96000,393216,8,G2
openb-node-0373,96000,393216,8,G2
openb-node-0374,104000,524288,2,T4
openb-node-0375,104000,524288,2,T4
openb-node-0376,104000,524288,2,T4
openb-node-0377,104000,524288,2,T4
openb-node-0378,104000,524288,2,T4
openb-node-0379,16000,122880,2,P100
openb-node-0380,16000,122880,2,P100
openb-node-0381,16000,122880,2,P100
openb-node-0382,96000,393216,8,G2
openb-node-0383,96000,393216,8,G2
openb-node-0384,96000,393216,8,G2
openb-node-0385,96000,393216,8,G2
openb-node-0386,96000,393216,8,G2
openb-node-0387,104000,524288,2,T4
openb-node-0388,104000,524288,2,T4
openb-node-0389,104000,524288,2,T4
openb-node-0390,104000,524288,2,T4
openb-node-0391,104000,524288,2,T4
openb-node-0392,104000,524288,2,T4
openb-node-0393,104000,524288,2,T4
openb-node-0394,104000,524288,2,T4
openb-node-0395,104000,524288,2,T4
openb-node-0396,104000,524288,2,T4
openb-node-0397,96000,393216,8,G2
openb-node-0398,96000,393216,8,G2
openb-node-0399,96000,393216,8,G2
openb-node-0400,96000,393216,8,G2
openb-node-0401,96000,393216,8,G2
openb-node-0402,96000,393216,8,G2
openb-node-0403,104000,524288,2,T4
openb-node-0404,104000,524288,2,T4
openb-node-0405,96000,393216,8,G2
openb-node-0406,96000,393216,8,G2
openb-node-0407,96000,393216,8,G2
openb-node-0408,16000,122880,2,P100
openb-node-0409,16000,122880,2,P100
openb-node-0410,16000,122880,2,P100
openb-node-0411,104000,524288,2,T4
openb-node-0412,104000,524288,2,T4
openb-node-0413,104000,524288,2,T4
openb-node-0414,104000,524288,2,T4
openb-node-0415,104000,524288,2,T4
openb-node-0416,104000,524288,2,T4
openb-node-0417,104000,524288,2,T4
openb-node-0418,104000,524288,2,T4
openb-node-0419,104000,524288,2,T4
openb-node-0420,104000,524288,2,T4
openb-node-0421,104000,524288,2,T4
openb-node-0422,104000,524288,2,T4
openb-node-0423,104000,524288,2,T4
openb-node-0424,96000,393216,8,G2
openb-node-0425,96000,786432,8,V100M32
openb-node-0426,96000,393216,8,G2
openb-node-0427,96000,393216,8,G2
openb-node-0428,96000,393216,8,G2
openb-node-0429,96000,393216,8,G2
openb-node-0430,16000,122880,2,P100
openb-node-0431,16000,122880,2,P100
openb-node-0432,96000,393216,8,G2
openb-node-0433,96000,393216,8,G2
openb-node-0434,96000,393216,8,G2
openb-node-0435,104000,524288,2,T4
openb-node-0436,16000,122880,2,P100
openb-node-0437,96000,393216,8,G2
openb-node-0438,96000,393216,8,G2
openb-node-0439,16000,122880,2,P100
openb-node-0440,32000,131072,4,V100M16
openb-node-0441,32000,131072,4,V100M16
openb-node-0442,96000,393216,4,T4
openb-node-0443,96000,393216,8,G2
openb-node-0444,96000,786432,8,V100M32
openb-node-0445,96000,393216,8,G2
openb-node-0446,96000,393216,8,G2
openb-node-0447,96000,393216,8,G2
openb-node-0448,96000,393216,8,G2
openb-node-0449,104000,524288,2,T4
openb-node-0450,104000,524288,2,T4
openb-node-0451,104000,524288,2,T4
openb-node-0452,104000,524288,2,T4
openb-node-0453,104000,524288,2,T4
openb-node-0454,104000,524288,2,T4
openb-node-0455,104000,524288,2,T4
openb-node-0456,104000,524288,2,T4
openb-node-0457,104000,524288,2,T4
openb-node-0458,104000,524288,2,T4
openb-node-0459,96000,393216,8,G2
openb-node-0460,96000,393216,8,G2
openb-node-0461,96000,393216,8,G2
openb-node-0462,96000,393216,8,G2
openb-node-0463,96000,393216,8,G2
openb-node-0464,96000,393216,8,G2
openb-node-0465,96000,393216,8,G2
openb-node-0466,96000,393216,8,G2
openb-node-0467,96000,393216,8,G2
openb-node-0468,96000,393216,8,G2
openb-node-0469,96000,393216,8,G2
openb-node-0470,96000,393216,8,G2
openb-node-0471,96000,393216,8,G2
openb-node-0472,96000,393216,8,G2
openb-node-0473,96000,393216,8,G2
openb-node-0474,96000,393216,8,G2
openb-node-0475,8000,32768,1,V100M16
openb-node-0476,96000,393216,8,G2
openb-node-0477,96000,393216,8,G2
openb-node-0478,16000,122880,2,P100
openb-node-0479,8000,61440,1,P100
openb-node-0480,104000,524288,2,T4
openb-node-0481,104000,524288,2,T4
openb-node-0482,104000,524288,2,T4
openb-node-0483,96000,393216,8,G2
openb-node-0484,96000,393216,8,G2
openb-node-0485,96000,393216,8,G2
openb-node-0486,104000,524288,2,T4
openb-node-0487,104000,524288,2,T4
openb-node-0488,104000,524288,2,T4
openb-node-0489,104000,524288,2,T4
openb-node-0490,16000,122880,2,P100
openb-node-0491,16000,122880,2,P100
openb-node-0492,8000,32768,1,V100M16
openb-node-0493,96000,393216,8,G2
openb-node-0494,96000,393216,8,G2
openb-node-0495,128000,786432,8,G3
openb-node-0496,96000,393216,8,G2
openb-node-0497,96000,393216,8,G2
openb-node-0498,96000,393216,8,G2
openb-node-0499,96000,393216,8,G2
openb-node-0500,96000,393216,8,G2
openb-node-0501,96000,393216,8,G2
openb-node-0502,96000,393216,8,G2
openb-node-0503,16000,122880,2,P100
openb-node-0504,32000,131072,4,V100M16
openb-node-0505,96000,393216,8,G2
openb-node-0506,96000,393216,8,G2
openb-node-0507,96000,393216,8,G2
openb-node-0508,8000,32768,1,V100M16
openb-node-0509,96000,786432,8,V100M32
openb-node-0510,96000,393216,8,G2
openb-node-0511,96000,393216,8,G2
openb-node-0512,96000,393216,8,G2
openb-node-0513,96000,393216,8,G2
openb-node-0514,96000,393216,8,G2
openb-node-0515,96000,393216,8,G2
openb-node-0516,96000,393216,8,G2
openb-node-0517,96000,393216,8,G2
openb-node-0518,96000,393216,8,G2
openb-node-0519,96000,393216,8,G2
openb-node-0520,96000,393216,8,G2
openb-node-0521,96000,393216,8,G2
openb-node-0522,96000,393216,8,G2
openb-node-0523,104000,524288,2,T4
openb-node-0524,96000,786432,8,V100M32
openb-node-0525,96000,393216,8,G2
openb-node-0526,96000,393216,8,G2
openb-node-0527,104000,524288,2,T4
openb-node-0528,104000,524288,2,T4
openb-node-0529,104000,524288,2,T4
openb-node-0530,96000,393216,8,G2
openb-node-0531,96000,393216,8,G2
openb-node-0532,96000,393216,4,T4
openb-node-0533,104000,524288,2,T4
openb-node-0534,104000,524288,2,T4
openb-node-0535,104000,524288,2,T4
openb-node-0536,104000,524288,2,T4
openb-node-0537,104000,524288,2,T4
openb-node-0538,104000,524288,2,T4
openb-node-0539,104000,524288,2,T4
openb-node-0540,16000,122880,2,P100
openb-node-0541,96000,393216,8,G2
openb-node-0542,16000,122880,2,P100
openb-node-0543,16000,122880,2,P100
openb-node-0544,96000,393216,8,G2
openb-node-0545,96000,393216,8,G2
openb-node-0546,96000,393216,8,G2
openb-node-0547,96000,393216,8,G2
openb-node-0548,96000,393216,8,G2
openb-node-0549,96000,393216,8,G2
openb-node-0550,96000,393216,8,G2
openb-node-0551,96000,393216,8,G2
openb-node-0552,104000,524288,2,T4
openb-node-0553,16000,122880,2,P100
openb-node-0554,16000,122880,2,P100
openb-node-0555,96000,393216,8,G2
openb-node-0556,96000,393216,8,G2
openb-node-0557,32000,131072,4,V100M16
openb-node-0558,96000,393216,4,T4
openb-node-0559,96000,393216,8,G2
openb-node-0560,96000,393216,8,G2
openb-node-0561,96000,393216,8,G2
openb-node-0562,16000,122880,2,P100
openb-node-0563,8000,32768,1,V100M16
openb-node-0564,16000,122880,2,P100
openb-node-0565,96000,393216,8,G2
openb-node-0566,104000,524288,2,T4
openb-node-0567,104000,524288,2,T4
openb-node-0568,96000,393216,8,G2
openb-node-0569,96000,393216,8,G2
openb-node-0570,96000,393216,8,G2
openb-node-0571,128000,786432,8,G3
openb-node-0572,8000,32768,1,V100M16
openb-node-0573,104000,524288,2,T4
openb-node-0574,104000,524288,2,T4
openb-node-0575,104000,524288,2,T4
openb-node-0576,96000,393216,8,G2
openb-node-0577,96000,393216,8,G2
openb-node-0578,16000,122880,2,P100
openb-node-0579,64000,262144,8,V100M16
openb-node-0580,128000,786432,8,G3
openb-node-0581,128000,786432,8,G3
openb-node-0582,96000,393216,8,G2
openb-node-0583,96000,393216,8,G2
openb-node-0584,104000,524288,2,T4
openb-node-0585,96000,393216,8,G2
openb-node-0586,96000,393216,8,G2
openb-node-0587,96000,393216,8,G2
openb-node-0588,104000,524288,2,T4
openb-node-0589,104000,524288,2,T4
openb-node-0590,104000,524288,2,T4
openb-node-0591,104000,524288,2,T4
openb-node-0592,104000,524288,2,T4
openb-node-0593,104000,524288,2,T4
openb-node-0594,104000,524288,2,T4
openb-node-0595,104000,524288,2,T4
openb-node-0596,104000,524288,2,T4
openb-node-0597,104000,524288,2,T4
openb-node-0598,104000,524288,2,T4
openb-node-0599,104000,524288,2,T4
openb-node-0600,104000,524288,2,T4
openb-node-0601,104000,524288,2,T4
openb-node-0602,104000,524288,2,T4
openb-node-0603,104000,524288,2,T4
openb-node-0604,8000,32768,1,V100M16
openb-node-0605,96000,393216,8,G2
openb-node-0606,104000,524288,2,T4
openb-node-0607,104000,524288,2,T4
openb-node-0608,104000,524288,2,T4
openb-node-0609,104000,524288,2,T4
openb-node-0610,96000,393216,4,T4
openb-node-0611,104000,524288,2,T4
openb-node-0612,104000,524288,2,T4
openb-node-0613,104000,524288,2,T4
openb-node-0614,104000,524288,2,T4
openb-node-0615,104000,524288,2,T4
openb-node-0616,104000,524288,2,T4
openb-node-0617,104000,524288,2,T4
openb-node-0618,96000,393216,8,G2
openb-node-0619,96000,393216,8,G2
openb-node-0620,96000,393216,8,G2
openb-node-0621,96000,393216,8,G2
openb-node-0622,96000,393216,8,G2
openb-node-0623,96000,393216,8,G2
openb-node-0624,96000,393216,8,G2
openb-node-0625,32000,131072,4,V100M16
openb-node-0626,32000,131072,4,V100M16
openb-node-0627,16000,122880,2,P100
openb-node-0628,16000,122880,2,P100
openb-node-0629,16000,122880,2,P100
openb-node-0630,16000,122880,2,P100
openb-node-0631,16000,122880,2,P100
openb-node-0632,96000,393216,8,G2
openb-node-0633,104000,524288,2,T4
openb-node-0634,104000,524288,2,T4
openb-node-0635,104000,524288,2,T4
openb-node-0636,104000,524288,2,T4
openb-node-0637,104000,524288,2,T4
openb-node-0638,104000,524288,2,T4
openb-node-0639,104000,524288,2,T4
openb-node-0640,104000,524288,2,T4
openb-node-0641,104000,524288,2,T4
openb-node-0642,104000,524288,2,T4
openb-node-0643,104000,524288,2,T4
openb-node-0644,104000,524288,2,T4
openb-node-0645,104000,524288,2,T4
openb-node-0646,104000,524288,2,T4
openb-node-0647,104000,524288,2,T4
openb-node-0648,104000,524288,2,T4
openb-node-0649,104000,524288,2,T4
openb-node-0650,104000,524288,2,T4
openb-node-0651,104000,524288,2,T4
openb-node-0652,104000,524288,2,T4
openb-node-0653,128000,786432,8,G3
openb-node-0654,96000,393216,8,G2
openb-node-0655,32000,131072,4,V100M16
openb-node-0656,96000,393216,8,G2
openb-node-0657,96000,393216,8,G2
openb-node-0658,96000,393216,8,G2
openb-node-0659,96000,393216,8,G2
openb-node-0660,96000,393216,8,G2
openb-node-0661,96000,393216,8,G2
openb-node-0662,96000,393216,8,G2
openb-node-0663,96000,393216,8,G2
openb-node-0664,96000,393216,8,G2
openb-node-0665,96000,393216,8,G2
openb-node-0666,96000,393216,8,G2
openb-node-0667,96000,393216,8,G2
openb-node-0668,96000,393216,8,G2
openb-node-0669,96000,393216,8,G2
openb-node-0670,104000,524288,2,T4
openb-node-0671,104000,524288,2,T4
openb-node-0672,104000,524288,2,T4
openb-node-0673,82000,344064,8,V100M16
openb-node-0674,96000,393216,8,G2
openb-node-0675,96000,393216,8,G2
openb-node-0676,96000,393216,8,G2
openb-node-0677,96000,393216,8,G2
openb-node-0678,16000,122880,2,P100
openb-node-0679,128000,786432,8,G3
openb-node-0680,104000,524288,2,T4
openb-node-0681,96000,393216,8,G2
openb-node-0682,96000,393216,8,G2
openb-node-0683,128000,786432,8,G3
openb-node-0684,96000,393216,8,G2
openb-node-0685,96000,393216,8,G2
openb-node-0686,96000,393216,8,G2
openb-node-0687,96000,393216,8,G2
openb-node-0688,32000,131072,4,V100M16
openb-node-0689,104000,524288,2,T4
openb-node-0690,104000,524288,2,T4
openb-node-0691,104000,524288,2,T4
openb-node-0692,104000,524288,2,T4
openb-node-0693,104000,524288,2,T4
openb-node-0694,104000,524288,2,T4
openb-node-0695,104000,524288,2,T4
openb-node-0696,104000,524288,2,T4
openb-node-0697,104000,524288,2,T4
openb-node-0698,104000,524288,2,T4
openb-node-0699,104000,524288,2,T4
openb-node-0700,104000,524288,2,T4
openb-node-0701,104000,524288,2,T4
openb-node-0702,104000,524288,2,T4
openb-node-0703,104000,524288,2,T4
openb-node-0704,104000,524288,2,T4
openb-node-0705,104000,524288,2,T4
openb-node-0706,104000,524288,2,T4
openb-node-0707,104000,524288,2,T4
openb-node-0708,96000,393216,8,G2
openb-node-0709,96000,393216,8,G2
openb-node-0710,16000,122880,2,P100
openb-node-0711,96000,393216,8,G2
openb-node-0712,96000,393216,8,G2
openb-node-0713,8000,32768,1,V100M16
openb-node-0714,104000,524288,2,T4
openb-node-0715,104000,524288,2,T4
openb-node-0716,104000,524288,2,T4
openb-node-0717,104000,524288,2,T4
openb-node-0718,104000,524288,2,T4
openb-node-0719,104000,524288,2,T4
openb-node-0720,104000,524288,2,T4
openb-node-0721,104000,524288,2,T4
openb-node-0722,104000,524288,2,T4
openb-node-0723,104000,524288,2,T4
openb-node-0724,104000,524288,2,T4
openb-node-0725,104000,524288,2,T4
openb-node-0726,104000,524288,2,T4
openb-node-0727,104000,524288,2,T4
openb-node-0728,104000,524288,2,T4
