name,cpu_milli,memory_mib,num_gpu,gpu_milli
openb-pod-0228,4000,15258,1,320
openb-pod-0229,3152,5600,1,1000
openb-pod-0230,11908,47104,1,470
openb-pod-0231,16000,32768,1,1000
openb-pod-0232,16000,32768,1,1000
openb-pod-0233,18708,64512,1,1000
openb-pod-0234,4000,30517,1,230
openb-pod-0235,3152,5600,1,1000
openb-pod-0236,3152,5600,1,1000
openb-pod-0237,11908,47104,1,470
openb-pod-0238,3152,5600,1,1000
openb-pod-0239,3152,5600,1,1000
openb-pod-0240,8000,30517,1,110
openb-pod-0241,8000,30517,1,320
openb-pod-0242,8000,30517,1,320
openb-pod-0243,8000,30517,1,220
openb-pod-0244,12000,24576,1,1000
openb-pod-0245,4000,30517,1,230
openb-pod-0246,4000,30517,1,230
openb-pod-0247,8000,30517,1,470
openb-pod-0248,12500,65536,0,0
openb-pod-0249,8000,32768,1,1000
openb-pod-0250,11908,47104,1,470
openb-pod-0251,3152,5600,1,1000
openb-pod-0252,3152,5600,1,1000
openb-pod-0253,3152,5600,1,1000
openb-pod-0254,3152,5600,1,1000
openb-pod-0255,8000,30517,0,0
openb-pod-0256,3152,5600,1,1000
openb-pod-0257,3152,5600,1,810
openb-pod-0258,3152,5600,1,1000
openb-pod-0259,4152,10600,1,550
openb-pod-0260,3152,5600,1,1000
openb-pod-0261,4000,15258,1,160
openb-pod-0262,8000,16384,1,1000
openb-pod-0263,18708,64512,1,1000
openb-pod-0264,3152,5600,1,1000
openb-pod-0265,8000,30517,1,470
openb-pod-0266,12500,57344,0,0
openb-pod-0267,9810,41560,1,1000
openb-pod-0268,9810,41560,1,1000
openb-pod-0269,11908,47104,1,470
openb-pod-0270,12000,24576,1,1000
openb-pod-0271,4152,10600,1,810
openb-pod-0272,16000,32768,1,1000
openb-pod-0273,3152,5600,1,1000
openb-pod-0274,4152,10600,1,810
openb-pod-0275,3152,5600,1,810
openb-pod-0276,12500,57344,0,0
openb-pod-0277,12500,57344,0,0
openb-pod-0278,3152,5600,1,810
openb-pod-0279,8000,30517,1,230
openb-pod-0280,3152,5600,1,1000
openb-pod-0281,12500,57344,0,0
openb-pod-0282,8000,16384,1,1000
openb-pod-0283,16000,32768,1,1000
openb-pod-0284,11908,47104,1,470
openb-pod-0285,16000,65536,0,0
openb-pod-0286,18708,64512,1,1000
openb-pod-0287,12500,57344,0,0
openb-pod-0288,12500,57344,0,0
openb-pod-0289,12500,57344,0,0
openb-pod-0290,8000,32768,1,1000
openb-pod-0291,4152,10600,1,810
openb-pod-0292,8000,16384,1,1000
openb-pod-0293,6000,6144,1,460
openb-pod-0294,11908,47104,1,470
openb-pod-0295,3152,5600,1,810
openb-pod-0296,11908,47104,1,470
openb-pod-0297,11908,47104,1,470
openb-pod-0298,11908,47104,1,470
openb-pod-0299,11908,47104,1,1000
openb-pod-0300,1000,2048,1,320
openb-pod-0301,3152,5600,1,1000
openb-pod-0302,8000,16384,1,1000
openb-pod-0303,8000,32768,1,1000
openb-pod-0304,3152,5600,1,1000
openb-pod-0305,11908,47104,1,470
openb-pod-0306,3152,5600,1,1000
openb-pod-0307,3152,5600,1,1000
openb-pod-0308,16000,32768,1,1000
openb-pod-0309,12000,24576,1,1000
openb-pod-0310,3152,5600,1,1000
openb-pod-0311,3152,5600,1,1000
openb-pod-0312,3152,5600,1,1000
openb-pod-0313,3152,5600,1,1000
openb-pod-0314,3152,5600,1,1000
openb-pod-0315,16000,32768,1,1000
openb-pod-0316,8000,16384,1,1000
openb-pod-0317,3152,5600,1,1000
openb-pod-0318,3152,5600,1,1000
openb-pod-0319,88000,327680,8,1000
openb-pod-0320,16000,65536,1,1000
openb-pod-0321,3152,5600,1,1000
openb-pod-0322,12000,16384,1,1000
openb-pod-0323,3152,5600,1,1000
openb-pod-0324,3152,5600,1,1000
openb-pod-0325,4000,30517,1,230
openb-pod-0326,4000,30517,1,230
openb-pod-0327,16000,32768,1,1000
openb-pod-0328,3152,5600,1,1000
openb-pod-0329,18708,64512,1,1000
openb-pod-0330,18708,64512,1,1000
openb-pod-0331,3152,5600,1,1000
openb-pod-0332,8000,16384,1,1000
openb-pod-0333,6000,22888,1,160
openb-pod-0334,3152,5600,1,1000
openb-pod-0335,3152,5600,1,1000
openb-pod-0336,12000,24576,1,1000
openb-pod-0337,8000,30517,1,440
openb-pod-0338,3152,5600,1,1000
openb-pod-0339,3152,5600,1,1000
openb-pod-0340,3152,5600,1,1000
openb-pod-0341,6000,18432,1,460
openb-pod-0342,8000,16384,1,1000
openb-pod-0343,4000,22888,1,320
openb-pod-0344,12000,16384,1,1000
openb-pod-0345,3152,5600,1,1000
openb-pod-0346,3152,5600,1,1000
openb-pod-0347,8000,30517,1,230
openb-pod-0348,4000,31250,1,1000
openb-pod-0349,8000,30517,1,220
openb-pod-0350,3152,5600,1,1000
openb-pod-0351,4000,15258,1,220
openb-pod-0352,8000,30517,0,0
openb-pod-0353,3152,5600,1,1000
openb-pod-0354,6000,12288,1,460
openb-pod-0355,3152,5600,1,1000
openb-pod-0356,3152,5600,1,1000
openb-pod-0357,3152,5600,1,810
openb-pod-0358,4000,15258,1,320
openb-pod-0359,3152,5600,1,1000
openb-pod-0360,16000,32768,1,1000
openb-pod-0361,6000,6144,1,460
openb-pod-0362,8000,16384,1,1000
openb-pod-0363,3152,5600,1,1000
openb-pod-0364,11908,47104,1,470
openb-pod-0365,15400,51200,0,0
openb-pod-0366,3152,5600,1,1000
openb-pod-0367,8000,30517,1,470
openb-pod-0368,15700,58368,1,1000
openb-pod-0369,6000,12288,1,460
openb-pod-0370,6000,12288,1,460
openb-pod-0371,4000,31250,1,1000
openb-pod-0372,4000,15258,1,160
openb-pod-0373,3152,5600,1,1000
openb-pod-0374,12500,57344,0,0
openb-pod-0375,16000,32768,1,1000
openb-pod-0376,4000,31250,1,1000
openb-pod-0377,6000,6144,1,460
openb-pod-0378,11908,47104,1,470
openb-pod-0379,3152,5600,1,1000
openb-pod-0380,8000,30517,1,470
openb-pod-0381,88000,327680,8,1000
openb-pod-0382,3152,5600,1,1000
openb-pod-0383,4000,15258,1,160
openb-pod-0384,11908,47104,1,470
openb-pod-0385,11908,47104,1,470
openb-pod-0386,4000,31250,1,1000
openb-pod-0387,3152,5600,1,1000
openb-pod-0388,6000,8192,1,460
openb-pod-0389,11908,47104,1,470
openb-pod-0390,3152,5600,1,1000
openb-pod-0391,8000,30517,1,470
openb-pod-0392,3152,5600,1,1000
openb-pod-0393,15400,51200,0,0
openb-pod-0394,15400,51200,0,0
openb-pod-0395,3152,5600,1,1000
openb-pod-0396,3152,5600,1,1000
openb-pod-0397,8000,16384,1,1000
openb-pod-0398,8000,16384,1,1000
openb-pod-0399,3152,5600,1,1000
openb-pod-0400,18708,64512,1,1000
openb-pod-0401,16500,51200,0,0
openb-pod-0402,11908,47104,1,470
openb-pod-0403,6000,6144,1,460
openb-pod-0404,12500,57344,0,0
openb-pod-0405,12000,15360,1,1000
openb-pod-0406,8000,30517,1,470
openb-pod-0407,8000,30517,1,470
openb-pod-0408,8000,30517,1,470
openb-pod-0409,8000,30517,1,470
openb-pod-0410,3152,5600,1,1000
openb-pod-0411,12500,57344,0,0
openb-pod-0412,11400,48128,1,1000
openb-pod-0413,8000,30517,1,470
openb-pod-0414,11908,47104,1,470
openb-pod-0415,8000,30517,1,470
openb-pod-0416,4000,30517,1,230
openb-pod-0417,12500,57344,0,0
openb-pod-0418,18708,64512,1,1000
openb-pod-0419,11400,48128,1,1000
openb-pod-0420,4000,24576,1,1000
openb-pod-0421,12000,32768,1,1000
openb-pod-0422,17400,43008,2,1000
openb-pod-0423,12500,57344,0,0
openb-pod-0424,12500,57344,0,0
openb-pod-0425,12500,57344,0,0
openb-pod-0426,12000,16384,1,1000
openb-pod-0427,11400,48128,1,1000
openb-pod-0428,11400,48128,1,1000
openb-pod-0429,11400,48128,1,1000
openb-pod-0430,11400,48128,1,1000
openb-pod-0431,12000,24576,1,1000
openb-pod-0432,12000,24576,1,1000
openb-pod-0433,3152,5600,1,810
openb-pod-0434,9810,41560,1,1000
openb-pod-0435,11300,37888,1,1000
openb-pod-0436,3152,5600,1,1000
openb-pod-0437,12500,57344,0,0
openb-pod-0438,12500,57344,0,0
openb-pod-0439,3152,5600,1,810
openb-pod-0440,8000,30517,1,320
openb-pod-0441,4152,10600,1,810
openb-pod-0442,11300,37888,1,1000
openb-pod-0443,3152,5600,1,1000
openb-pod-0444,4152,10600,1,810
openb-pod-0445,11400,48128,1,1000
openb-pod-0446,4152,10600,1,810
openb-pod-0447,3152,5600,1,1000
openb-pod-0448,4000,30517,1,230
openb-pod-0449,3152,5600,1,1000
openb-pod-0450,4152,10600,1,810
openb-pod-0451,6000,22888,1,110
openb-pod-0452,18708,64512,1,1000
openb-pod-0453,12500,57344,0,0
openb-pod-0454,4152,10600,1,810
openb-pod-0455,8000,30517,1,320
openb-pod-0456,3152,5600,1,1000
openb-pod-0457,3152,5600,1,810
openb-pod-0458,8000,30517,1,320
openb-pod-0459,3152,5600,1,810
openb-pod-0460,6000,18432,1,460
openb-pod-0461,18708,64512,1,1000
openb-pod-0462,8000,30517,1,320
openb-pod-0463,8000,30517,1,320
openb-pod-0464,3152,5600,1,810
openb-pod-0465,4000,15258,1,160
openb-pod-0466,11908,47104,1,470
openb-pod-0467,4152,10600,1,810
openb-pod-0468,4000,30517,1,230
openb-pod-0469,4000,30517,1,230
openb-pod-0470,16000,32768,1,1000
openb-pod-0471,8000,30517,1,220
openb-pod-0472,4000,30517,1,230
openb-pod-0473,12500,57344,0,0
openb-pod-0474,11908,47104,1,470
openb-pod-0475,16000,32768,1,1000
openb-pod-0476,12500,57344,0,0
openb-pod-0477,8000,16384,0,0
openb-pod-0478,3152,5600,1,1000
openb-pod-0479,12500,57344,0,0
openb-pod-0480,3152,5600,1,1000
openb-pod-0481,11908,47104,1,470
openb-pod-0482,4000,30517,1,230
openb-pod-0483,11908,47104,1,470
openb-pod-0484,4000,30517,1,230
openb-pod-0485,4000,30517,1,230
openb-pod-0486,12500,57344,0,0
openb-pod-0487,8000,32768,1,1000
openb-pod-0488,8000,32768,1,1000
openb-pod-0489,3152,5600,1,1000
openb-pod-0490,3152,5600,1,1000
openb-pod-0491,3152,5600,1,810
openb-pod-0492,3152,5600,1,1000
openb-pod-0493,3152,5600,1,1000
openb-pod-0494,11908,47104,1,470
openb-pod-0495,4000,30517,1,230
openb-pod-0496,9810,41560,1,1000
openb-pod-0497,4000,30517,1,230
openb-pod-0498,4000,30517,1,230
openb-pod-0499,3152,5600,1,1000
openb-pod-0500,3152,5600,1,1000
openb-pod-0501,4000,30517,1,230
openb-pod-0502,3152,5600,1,1000
openb-pod-0503,3152,5600,1,1000
openb-pod-0504,4000,30517,1,230
openb-pod-0505,3152,5600,1,810
openb-pod-0506,15700,58368,1,1000
openb-pod-0507,8000,30517,1,470
openb-pod-0508,3152,5600,1,1000
openb-pod-0509,3152,5600,1,810
openb-pod-0510,4000,30517,1,230
openb-pod-0511,15700,58368,1,1000
openb-pod-0512,3152,5600,1,1000
openb-pod-0513,11908,47104,1,470
openb-pod-0514,3152,5600,1,1000
openb-pod-0515,18708,64512,1,1000
openb-pod-0516,11908,47104,1,650
openb-pod-0517,11908,47104,1,650
openb-pod-0518,3152,5600,1,810
openb-pod-0519,3152,5600,1,1000
openb-pod-0520,8000,30517,1,470
openb-pod-0521,16000,32768,1,1000
openb-pod-0522,3152,5600,1,1000
openb-pod-0523,24200,93184,1,1000
openb-pod-0524,9810,41560,1,1000
openb-pod-0525,9810,41560,1,1000
openb-pod-0526,9810,41560,1,1000
openb-pod-0527,3152,5600,1,1000
openb-pod-0528,3152,5600,1,1000
openb-pod-0529,8000,32768,1,1000
openb-pod-0530,6000,6144,1,460
openb-pod-0531,3152,5600,1,1000
openb-pod-0532,12000,16384,1,1000
openb-pod-0533,4152,10600,1,550
openb-pod-0534,4152,10600,1,550
openb-pod-0535,4152,10600,1,550
openb-pod-0536,4152,10600,1,550
openb-pod-0537,3152,5600,1,1000
openb-pod-0538,8000,30517,1,230
openb-pod-0539,3152,5600,1,1000
openb-pod-0540,4000,22888,1,480
openb-pod-0541,6000,18432,1,460
openb-pod-0542,3152,5600,1,1000
openb-pod-0543,3152,5600,1,810
openb-pod-0544,11400,48128,1,1000
openb-pod-0545,24200,93184,1,1000
openb-pod-0546,8000,16384,1,1000
openb-pod-0547,8000,16384,1,1000
openb-pod-0548,24200,93184,1,1000
openb-pod-0549,8000,16384,1,1000
openb-pod-0550,12000,15360,1,1000
openb-pod-0551,12000,15360,1,1000
openb-pod-0552,16000,65536,1,1000
openb-pod-0553,3152,5600,1,1000
openb-pod-0554,3152,5600,1,1000
openb-pod-0555,6000,6144,1,460
openb-pod-0556,6000,6144,1,460
openb-pod-0557,3152,5600,1,1000
openb-pod-0558,4000,24576,1,1000
openb-pod-0559,8000,16384,1,1000
openb-pod-0560,8000,30517,1,320
openb-pod-0561,8000,32768,1,1000
openb-pod-0562,4000,31250,1,1000
openb-pod-0563,7000,30000,1,1000
openb-pod-0564,4000,24576,1,1000
openb-pod-0565,3152,5600,1,1000
openb-pod-0566,12000,16384,1,1000
openb-pod-0567,3152,5600,1,1000
openb-pod-0568,11400,48128,1,1000
openb-pod-0569,8000,16384,1,1000
openb-pod-0570,12000,16384,1,1000
openb-pod-0571,12000,16384,1,1000
openb-pod-0572,12000,16384,1,1000
openb-pod-0573,8000,32768,1,1000
openb-pod-0574,8000,30517,0,0
openb-pod-0575,3152,5600,1,1000
openb-pod-0576,3152,5600,1,810
openb-pod-0577,11908,47104,1,470
openb-pod-0578,3152,5600,1,1000
openb-pod-0579,11400,48128,1,1000
openb-pod-0580,3152,5600,1,1000
openb-pod-0581,11400,48128,1,1000
openb-pod-0582,3152,5600,1,810
openb-pod-0583,3152,5600,1,810
openb-pod-0584,4000,30517,1,230
openb-pod-0585,8000,30517,1,470
openb-pod-0586,8000,30517,1,230
openb-pod-0587,3152,5600,1,810
openb-pod-0588,6000,6144,1,460
openb-pod-0589,24200,93184,1,1000
openb-pod-0590,4000,30517,1,230
openb-pod-0591,9810,41560,1,1000
openb-pod-0592,4000,30517,1,230
openb-pod-0593,9810,41560,1,1000
openb-pod-0594,4000,30517,1,230
openb-pod-0595,9810,41560,1,1000
openb-pod-0596,8000,30517,1,470
openb-pod-0597,8000,30517,1,470
openb-pod-0598,4000,31250,1,1000
openb-pod-0599,4000,31250,1,1000
openb-pod-0600,3152,5600,1,1000
openb-pod-0601,3152,5600,1,810
openb-pod-0602,11400,48128,1,1000
openb-pod-0603,4000,30517,1,230
openb-pod-0604,4000,30517,1,230
openb-pod-0605,4000,30517,1,230
openb-pod-0606,4000,31250,1,1000
openb-pod-0607,16000,65536,1,1000
openb-pod-0608,8000,32768,1,1000
openb-pod-0609,4000,22888,1,350
openb-pod-0610,3152,5600,1,810
openb-pod-0611,3152,5600,1,810
openb-pod-0612,3152,5600,1,1000
openb-pod-0613,3152,5600,1,1000
openb-pod-0614,3152,5600,1,1000
openb-pod-0615,11400,48128,1,1000
openb-pod-0616,8000,32768,1,1000
openb-pod-0617,3152,5600,1,1000
openb-pod-0618,24200,93184,1,1000
openb-pod-0619,12000,16384,1,1000
openb-pod-0620,4000,30517,1,230
openb-pod-0621,4000,30517,1,230
openb-pod-0622,4152,10600,1,810
openb-pod-0623,8000,30517,1,470
openb-pod-0624,24200,93184,1,1000
openb-pod-0625,4000,30517,1,230
openb-pod-0626,18708,64512,1,1000
openb-pod-0627,8000,16384,1,1000
openb-pod-0628,8000,30517,1,470
openb-pod-0629,11400,48128,1,1000
openb-pod-0630,3152,5600,1,1000
openb-pod-0631,3152,5600,1,1000
openb-pod-0632,1000,6144,1,1000
openb-pod-0633,4000,30517,1,230
openb-pod-0634,4152,10600,1,550
openb-pod-0635,3152,5600,1,1000
openb-pod-0636,4000,30517,1,230
openb-pod-0637,4000,30517,1,230
openb-pod-0638,4000,30517,1,230
openb-pod-0639,4000,30517,1,230
openb-pod-0640,18708,64512,1,1000
openb-pod-0641,16000,65536,1,1000
openb-pod-0642,3152,5600,1,810
openb-pod-0643,3152,5600,1,1000
openb-pod-0644,11400,48128,1,1000
openb-pod-0645,3152,5600,1,1000
openb-pod-0646,4000,30517,1,230
openb-pod-0647,3152,5600,1,810
openb-pod-0648,12500,57344,0,0
openb-pod-0649,12500,57344,0,0
openb-pod-0650,12500,57344,0,0
openb-pod-0651,12500,57344,0,0
openb-pod-0652,12500,57344,0,0
openb-pod-0653,3152,5600,1,810
openb-pod-0654,18708,64512,1,1000
openb-pod-0655,8000,16384,1,1000
openb-pod-0656,4000,30517,1,230
openb-pod-0657,3152,5600,1,1000
openb-pod-0658,8000,30517,1,470
openb-pod-0659,4000,24576,1,1000
openb-pod-0660,9810,41560,1,1000
openb-pod-0661,3152,5600,1,1000
openb-pod-0662,20000,65536,0,0
openb-pod-0663,3152,5600,1,1000
openb-pod-0664,18708,64512,1,1000
openb-pod-0665,3152,5600,1,1000
openb-pod-0666,11400,48128,1,1000
openb-pod-0667,11400,48128,1,1000
openb-pod-0668,3152,5600,1,1000
openb-pod-0669,3152,5600,1,810
openb-pod-0670,8000,16384,1,1000
openb-pod-0671,6000,18432,1,460
openb-pod-0672,4000,22888,1,320
openb-pod-0673,8000,30517,1,470
openb-pod-0674,3152,5600,1,590
openb-pod-0675,3152,5600,1,1000
openb-pod-0676,3152,5600,1,810
openb-pod-0677,3152,5600,1,810
openb-pod-0678,11400,48128,1,1000
openb-pod-0679,4000,22888,1,220
openb-pod-0680,11400,48128,1,1000
openb-pod-0681,3152,5600,1,810
openb-pod-0682,11400,48128,1,1000
openb-pod-0683,9810,41560,1,1000
openb-pod-0684,18708,64512,1,1000
openb-pod-0685,18708,64512,1,1000
openb-pod-0686,9810,41560,1,1000
openb-pod-0687,3152,5600,1,590
openb-pod-0688,11400,48128,1,1000
openb-pod-0689,9810,41560,1,1000
openb-pod-0690,18708,64512,1,1000
openb-pod-0691,3152,5600,1,810
openb-pod-0692,4000,30517,1,230
openb-pod-0693,9810,41560,1,1000
openb-pod-0694,8000,30517,1,470
openb-pod-0695,11400,48128,1,1000
openb-pod-0696,11400,48128,1,1000
openb-pod-0697,8000,30517,1,470
openb-pod-0698,3152,5600,1,810
openb-pod-0699,3152,5600,1,1000
openb-pod-0700,16000,32768,1,1000
openb-pod-0701,16000,16384,1,1000
openb-pod-0702,3152,5600,1,810
openb-pod-0703,3152,5600,1,1000
openb-pod-0704,4000,30517,1,230
openb-pod-0705,11400,48128,1,1000
openb-pod-0706,8000,30517,1,470
openb-pod-0707,3152,5600,1,1000
openb-pod-0708,18708,64512,1,1000
openb-pod-0709,16500,51200,0,0
openb-pod-0710,3152,5600,1,1000
openb-pod-0711,16500,51200,0,0
